Monat	Erster
01.01.1999	244,38
01.02.1999	250,46
01.03.1999	260,02
01.04.1999	260,81
01.05.1999	269,42
01.06.1999	259,2
01.07.1999	253,22
01.08.1999	239,8
01.09.1999	241,67
01.10.1999	284,54
01.11.1999	285,3
01.12.1999	288,6
01.01.2000	289,55
01.02.2000	288,62
01.03.2000	301,85
01.04.2000	288,39
01.05.2000	303,8
01.06.2000	291,49
01.07.2000	301,67
01.08.2000	299,89
01.09.2000	307,17
01.10.2000	311,16
01.11.2000	313,82
01.12.2000	307,68
01.01.2001	292,79
01.02.2001	286,11
01.03.2001	287,51
01.04.2001	294,04
01.05.2001	296,01
01.06.2001	313,43
01.07.2001	318,47
01.08.2001	303,14
01.09.2001	300,04
01.10.2001	317,35
01.11.2001	310,68
01.12.2001	309,87
01.01.2002	312,39
01.02.2002	326,38
01.03.2002	342,44
01.04.2002	347,48
01.05.2002	342,96
01.06.2002	348,92
01.07.2002	321,2
01.08.2002	311,8
01.09.2002	317
01.10.2002	328,11
01.11.2002	320,52
01.12.2002	320,43
01.01.2003	326,74
01.02.2003	342,41
01.03.2003	322,95
01.04.2003	308,31
01.05.2003	302,02
01.06.2003	308,69
01.07.2003	302,5
01.08.2003	313,99
01.09.2003	339,84
01.10.2003	328,97
01.11.2003	330,27
01.12.2003	332,11
01.01.2004	330,89
01.02.2004	323,24
01.03.2004	316,59
01.04.2004	345,73
01.05.2004	324,4
01.06.2004	321,62
01.07.2004	324,69
01.08.2004	323,43
01.09.2004	337,83
01.10.2004	334,54
01.11.2004	334,38
01.12.2004	340,62
01.01.2005	321,14
01.02.2005	326,38
01.03.2005	329,12
01.04.2005	330,09
01.05.2005	334,26
01.06.2005	336,62
01.07.2005	362,16
01.08.2005	353,4
01.09.2005	354,57
01.10.2005	393,52
01.11.2005	391,98
01.12.2005	419,11
01.01.2006	433,31
01.02.2006	470,79
01.03.2006	468,24
01.04.2006	482,05
01.05.2006	508,24
01.06.2006	507,92
01.07.2006	472,16
01.08.2006	499,33
01.09.2006	483,78
01.10.2006	474,83
01.11.2006	473,41
01.12.2006	483,86
01.01.2007	482,76
01.02.2007	499,19
01.03.2007	513,38
01.04.2007	498,24
01.05.2007	498,24
01.06.2007	488,4
01.07.2007	481,51
01.08.2007	486,68
01.09.2007	488,8
01.10.2007	520,31
01.11.2007	541,87
01.12.2007	537,72
01.01.2008	568,66
01.02.2008	621,59
01.03.2008	637,58
01.04.2008	592,82
01.05.2008	557,72
01.06.2008	567,57
01.07.2008	589,64
01.08.2008	583,79
01.09.2008	567,97
01.10.2008	624,22
01.11.2008	572,23
01.12.2008	633,42
01.01.2009	614,65
01.02.2009	713,4
01.03.2009	745,05
01.04.2009	691,43
01.05.2009	667,92
01.06.2009	692,55
01.07.2009	666,9
01.08.2009	663,9
01.09.2009	661,9
01.10.2009	682,61
01.11.2009	703,27
01.12.2009	778,69
01.01.2010	766,4
01.02.2010	775,44
01.03.2010	817,59
01.04.2010	823,99
01.05.2010	882,78
01.06.2010	978,32
01.07.2010	1.011,25
01.08.2010	897,01
01.09.2010	972,87
01.10.2010	960,09
01.11.2010	966,63
01.12.2010	1.056,07
01.01.2011	1.055,10
01.02.2011	976,92
01.03.2011	1.019,19
01.04.2011	1.006,47
01.05.2011	1.031,60
01.06.2011	1.066,25
01.07.2011	1.041,08
01.08.2011	1.129,76
01.09.2011	1.264,19
01.10.2011	1.204,26
01.11.2011	1.227,23
01.12.2011	1.282,46
01.01.2012	1.217,05
01.02.2012	1.317,27
01.03.2012	1.329,96
01.04.2012	1.245,31
01.05.2012	1.256,61
01.06.2012	1.262,08
01.07.2012	1.248,01
01.08.2012	1.323,29
01.09.2012	1.319,03
01.10.2012	1.374,65
01.11.2012	1.321,54
01.12.2012	1.329,53
01.01.2013	1.261,56
01.02.2013	1.234,88
01.03.2013	1.213,39
01.04.2013	1.253,13
01.05.2013	1.126,13
01.06.2013	1.085,98
01.07.2013	921,89
01.08.2013	1.002,79
01.09.2013	1.051,85
01.10.2013	989,59
01.11.2013	975,82
01.12.2013	915,29
01.01.2014	872,55
01.02.2014	920,54
01.03.2014	961,65
01.04.2014	939,86
01.05.2014	934,67
01.06.2014	921,04
01.07.2014	961,62
01.08.2014	966,92
01.09.2014	975,83
01.10.2014	959,94
01.11.2014	933,45
01.12.2014	950,8
01.01.2015	986,55
01.02.2015	1.114,98
01.03.2015	1.073,59
01.04.2015	1.098,84
01.05.2015	1.075,99
01.06.2015	1.083,86
01.07.2015	1.053,01
01.08.2015	985,45
01.09.2015	998,23
01.10.2015	1.000,80
01.11.2015	1.042,70
01.12.2015	998,2
01.01.2016	974,32
01.02.2016	1.019,89
01.03.2016	1.131,46
01.04.2016	1.085,50
01.05.2016	1.119,45
01.06.2016	1.087,39
01.07.2016	1.183,59
01.08.2016	1.200,18
01.09.2016	1.179,19
01.10.2016	1.187,67
01.11.2016	1.163,22
01.12.2016	1.115,44
01.01.2017	1.098,36
01.02.2017	1.119,20
01.03.2017	1.180,79
01.04.2017	1.161,98
01.05.2017	1.156,84
01.06.2017	1.129,96
01.07.2017	1.090,83
01.08.2017	1.079,06
01.09.2017	1.098,31
01.10.2017	1.090,82
01.11.2017	1.095,60
01.12.2017	1.084,06
01.01.2018	1.082,45
01.02.2018	1.078,98
01.03.2018	1.080,53
01.04.2018	1.075,80
01.05.2018	1.087,62
01.06.2018	1.113,58
01.07.2018	1.073,85
01.08.2018	1.039,86
01.09.2018	1.034,03
01.10.2018	1.020,41
01.11.2018	1.074,25
01.12.2018	1.073,75
01.01.2019	1.120,03
01.02.2019	1.152,16
01.03.2019	1.162,82
01.04.2019	1.151,19
01.05.2019	1.145,97
01.06.2019	1.162,12
01.07.2019	1.241,07
01.08.2019	1.283,20
01.09.2019	1.382,75
01.10.2019	1.361,75
01.11.2019	1.348,53
01.12.2019	1.323,24
01.01.2020	1.358,06
01.02.2020	1.433,51
01.03.2020	1.474,61
01.04.2020	1.461,52
01.05.2020	1.577,86
01.06.2020	1.550,15
01.07.2020	1.580,35
01.08.2020	1.666,84
01.09.2020	1.642,72
01.10.2020	1.609,74
01.11.2020	1.607,19
01.12.2020	1.478,69
01.01.2021	1.539,92
01.02.2021	1.527,92
01.03.2021	1.455,85
01.04.2021	1.435,08
01.05.2021	1.462,62
01.06.2021	1.552,38
01.07.2021	1.477,61
01.08.2021	1.535,73
01.09.2021	1.534,17
01.10.2021	1.492,25
01.11.2021	1.542,12
01.12.2021	1.582,25
01.01.2022	1.606,06
01.02.2022	1.602,23
01.03.2022	1.700,60
